Encoder Position: -172368  Error: 177368  Integral Component: 443978  Control Voltage: 17736.8
Encoder Position: -172368  Error: 177368  Integral Component: 445751  Control Voltage: 17736.8
Encoder Position: -172232  Error: 177232  Integral Component: 447524  Control Voltage: 17723.2
Encoder Position: -172095  Error: 177232  Integral Component: 449296  Control Voltage: 17723.2
Encoder Position: -172095  Error: 177095  Integral Component: 451067  Control Voltage: 17709.5
Encoder Position: -171958  Error: 176958  Integral Component: 452836  Control Voltage: 17695.8
Encoder Position: -171822  Error: 176958  Integral Component: 454606  Control Voltage: 17695.8
Encoder Position: -171822  Error: 176822  Integral Component: 456374  Control Voltage: 17682.2
Encoder Position: -171685  Error: 176685  Integral Component: 458141  Control Voltage: 17668.5
Encoder Position: -171548  Error: 176548  Integral Component: 459907  Control Voltage: 17654.8
Encoder Position: -171412  Error: 176548  Integral Component: 461672  Control Voltage: 17654.8
Encoder Position: -171412  Error: 176412  Integral Component: 463436  Control Voltage: 17641.2
Encoder Position: -171275  Error: 176275  Integral Component: 465199  Control Voltage: 17627.5
Encoder Position: -171275  Error: 176275  Integral Component: 466962  Control Voltage: 17627.5
Encoder Position: -171139  Error: 176139  Integral Component: 468723  Control Voltage: 17613.9
Encoder Position: -171002  Error: 176002  Integral Component: 470483  Control Voltage: 17600.2
Encoder Position: -171002  Error: 176002  Integral Component: 472243  Control Voltage: 17600.2
Encoder Position: -170866  Error: 175866  Integral Component: 474002  Control Voltage: 17586.6
Encoder Position: -170729  Error: 175866  Integral Component: 475760  Control Voltage: 17586.6
Encoder Position: -170729  Error: 175729  Integral Component: 477518  Control Voltage: 17572.9
Encoder Position: -170592  Error: 175592  Integral Component: 479274  Control Voltage: 17559.2
Encoder Position: -170456  Error: 175592  Integral Component: 481030  Control Voltage: 17559.2
Encoder Position: -170319  Error: 175456  Integral Component: 482784  Control Voltage: 17545.6
Encoder Position: -170319  Error: 175319  Integral Component: 484537  Control Voltage: 17531.9
Encoder Position: -170182  Error: 175182  Integral Component: 486289  Control Voltage: 17518.2
Encoder Position: -170182  Error: 175182  Integral Component: 488041  Control Voltage: 17518.2
Encoder Position: -170046  Error: 175046  Integral Component: 489791  Control Voltage: 17504.6
Encoder Position: -169909  Error: 175046  Integral Component: 491542  Control Voltage: 17504.6
Encoder Position: -169909  Error: 174909  Integral Component: 493291  Control Voltage: 17490.9
Encoder Position: -169772  Error: 174772  Integral Component: 495039  Control Voltage: 17477.2
Encoder Position: -169772  Error: 174772  Integral Component: 496786  Control Voltage: 17477.2
Encoder Position: -169636  Error: 174636  Integral Component: 498533  Control Voltage: 17463.6
Encoder Position: -169499  Error: 174636  Integral Component: 500279  Control Voltage: 17463.6
Encoder Position: -169499  Error: 174499  Integral Component: 502024  Control Voltage: 17449.9
Encoder Position: -169363  Error: 174363  Integral Component: 503768  Control Voltage: 17436.3
Encoder Position: -169363  Error: 174363  Integral Component: 505511  Control Voltage: 17436.3
Encoder Position: -169226  Error: 174226  Integral Component: 507254  Control Voltage: 17422.6
Encoder Position: -169089  Error: 174089  Integral Component: 508994  Control Voltage: 17408.9
Encoder Position: -169089  Error: 174089  Integral Component: 510735  Control Voltage: 17408.9
Encoder Position: -168953  Error: 173953  Integral Component: 512475  Control Voltage: 17395.3
Encoder Position: -168816  Error: 173953  Integral Component: 514214  Control Voltage: 17395.3
Encoder Position: -168816  Error: 173816  Integral Component: 515953  Control Voltage: 17381.6
Encoder Position: -168679  Error: 173679  Integral Component: 517689  Control Voltage: 17367.9
Encoder Position: -168679  Error: 173679  Integral Component: 519426  Control Voltage: 17367.9
Encoder Position: -168543  Error: 173543  Integral Component: 521162  Control Voltage: 17354.3
Encoder Position: -168406  Error: 173406  Integral Component: 522896  Control Voltage: 17340.6
Encoder Position: -168269  Error: 173406  Integral Component: 524630  Control Voltage: 17340.6
Encoder Position: -168269  Error: 173269  Integral Component: 526362  Control Voltage: 17326.9
Encoder Position: -168132  Error: 173132  Integral Component: 528094  Control Voltage: 17313.2
Encoder Position: -167996  Error: 173132  Integral Component: 529825  Control Voltage: 17313.2
Encoder Position: -167996  Error: 172996  Integral Component: 531555  Control Voltage: 17299.6
Encoder Position: -167859  Error: 172859  Integral Component: 533284  Control Voltage: 17285.9
Encoder Position: -167859  Error: 172859  Integral Component: 535012  Control Voltage: 17285.9
Encoder Position: -167723  Error: 172723  Integral Component: 536739  Control Voltage: 17272.3
Encoder Position: -167586  Error: 172723  Integral Component: 538467  Control Voltage: 17272.3
Encoder Position: -167449  Error: 172586  Integral Component: 540192  Control Voltage: 17258.6
Encoder Position: -167449  Error: 172449  Integral Component: 541917  Control Voltage: 17244.9
Encoder Position: -167313  Error: 172313  Integral Component: 543640  Control Voltage: 17231.3
Encoder Position: -167176  Error: 172176  Integral Component: 545362  Control Voltage: 17217.6
Encoder Position: -167176  Error: 172176  Integral Component: 547084  Control Voltage: 17217.6
Encoder Position: -167040  Error: 172040  Integral Component: 548804  Control Voltage: 17204
Encoder Position: -166903  Error: 171903  Integral Component: 550523  Control Voltage: 17190.3
Encoder Position: -166903  Error: 171903  Integral Component: 552242  Control Voltage: 17190.3
Encoder Position: -166767  Error: 171767  Integral Component: 553960  Control Voltage: 17176.7
Encoder Position: -166630  Error: 171630  Integral Component: 555676  Control Voltage: 17163
Encoder Position: -166630  Error: 171630  Integral Component: 557392  Control Voltage: 17163
Encoder Position: -166494  Error: 171494  Integral Component: 559107  Control Voltage: 17149.4
Encoder Position: -166494  Error: 171494  Integral Component: 560822  Control Voltage: 17149.4
Encoder Position: -166358  Error: 171358  Integral Component: 562536  Control Voltage: 17135.8
Encoder Position: -166221  Error: 171221  Integral Component: 564248  Control Voltage: 17122.1
Encoder Position: -166221  Error: 171221  Integral Component: 565960  Control Voltage: 17122.1
Encoder Position: -166085  Error: 171085  Integral Component: 567671  Control Voltage: 17108.5
Encoder Position: -165948  Error: 171085  Integral Component: 569382  Control Voltage: 17108.5
Encoder Position: -165948  Error: 170948  Integral Component: 571091  Control Voltage: 17094.8
